Group ID,Graph Type,Source,Target,Weight,Weight-normalized,Relation
group-1,conversation,A,B,1.367,0.0,speaking_duration
group-1,conversation,A,C,1.367,0.0,speaking_duration
group-1,conversation,A,D,1.367,0.0,speaking_duration
group-1,conversation,B,A,12.453,0.032658039,speaking_duration
group-1,conversation,B,C,12.453,0.032658039,speaking_duration
group-1,conversation,B,D,12.453,0.032658039,speaking_duration
group-1,conversation,C,A,110.63600000000001,0.321893495,speaking_duration
group-1,conversation,C,B,110.63600000000001,0.321893495,speaking_duration
group-1,conversation,C,D,110.63600000000001,0.321893495,speaking_duration
group-1,conversation,D,A,123.87899999999999,0.3609058,speaking_duration
group-1,conversation,D,B,123.87899999999999,0.3609058,speaking_duration
group-1,conversation,D,C,123.87899999999999,0.3609058,speaking_duration
group-2,conversation,A,B,96.354,0.279820419,speaking_duration
group-2,conversation,A,C,96.354,0.279820419,speaking_duration
group-2,conversation,A,D,96.354,0.279820419,speaking_duration
group-2,conversation,C,A,65.169,0.187953113,speaking_duration
group-2,conversation,C,B,65.169,0.187953113,speaking_duration
group-2,conversation,C,D,65.169,0.187953113,speaking_duration
group-2,conversation,D,A,151.58999999999997,0.442539114,speaking_duration
group-2,conversation,D,B,151.58999999999997,0.442539114,speaking_duration
group-2,conversation,D,C,151.58999999999997,0.442539114,speaking_duration
group-3,conversation,A,B,7.644,0.018491296,speaking_duration
group-3,conversation,A,C,7.644,0.018491296,speaking_duration
group-3,conversation,A,D,7.644,0.018491296,speaking_duration
group-3,conversation,B,A,49.99200000000001,0.143243474,speaking_duration
group-3,conversation,B,C,49.99200000000001,0.143243474,speaking_duration
group-3,conversation,B,D,49.99200000000001,0.143243474,speaking_duration
group-3,conversation,C,A,158.847,0.463917374,speaking_duration
group-3,conversation,C,B,158.847,0.463917374,speaking_duration
group-3,conversation,C,D,158.847,0.463917374,speaking_duration
group-3,conversation,D,A,99.666,0.289577178,speaking_duration
group-3,conversation,D,B,99.666,0.289577178,speaking_duration
group-3,conversation,D,C,99.666,0.289577178,speaking_duration
group-4,conversation,A,B,340.8240000000001,1.0,speaking_duration
group-4,conversation,A,C,340.8240000000001,1.0,speaking_duration
group-4,conversation,A,D,340.8240000000001,1.0,speaking_duration
group-4,conversation,B,A,29.902999999999995,0.084063666,speaking_duration
group-4,conversation,B,C,29.902999999999995,0.084063666,speaking_duration
group-4,conversation,B,D,29.902999999999995,0.084063666,speaking_duration
group-4,conversation,C,A,41.917,0.119455483,speaking_duration
group-4,conversation,C,B,41.917,0.119455483,speaking_duration
group-4,conversation,C,D,41.917,0.119455483,speaking_duration
group-4,conversation,D,A,15.256000000000002,0.040915344,speaking_duration
group-4,conversation,D,B,15.256000000000002,0.040915344,speaking_duration
group-4,conversation,D,C,15.256000000000002,0.040915344,speaking_duration
group-5,conversation,A,B,27.776,0.077797777,speaking_duration
group-5,conversation,A,C,27.776,0.077797777,speaking_duration
group-5,conversation,A,D,27.776,0.077797777,speaking_duration
group-5,conversation,B,A,29.502999999999993,0.082885314,speaking_duration
group-5,conversation,B,C,29.502999999999993,0.082885314,speaking_duration
group-5,conversation,B,D,29.502999999999993,0.082885314,speaking_duration
group-5,conversation,C,A,57.49399999999999,0.165343475,speaking_duration
group-5,conversation,C,B,57.49399999999999,0.165343475,speaking_duration
group-5,conversation,C,D,57.49399999999999,0.165343475,speaking_duration
group-5,conversation,D,A,45.967000000000006,0.131386302,speaking_duration
group-5,conversation,D,B,45.967000000000006,0.131386302,speaking_duration
group-5,conversation,D,C,45.967000000000006,0.131386302,speaking_duration
group-6,conversation,A,B,56.095,0.161222187,speaking_duration
group-6,conversation,A,C,56.095,0.161222187,speaking_duration
group-6,conversation,A,D,56.095,0.161222187,speaking_duration
group-6,conversation,B,A,31.111,0.087622291,speaking_duration
group-6,conversation,B,C,31.111,0.087622291,speaking_duration
group-6,conversation,B,D,31.111,0.087622291,speaking_duration
group-6,conversation,C,A,56.92099999999999,0.163655485,speaking_duration
group-6,conversation,C,B,56.92099999999999,0.163655485,speaking_duration
group-6,conversation,C,D,56.92099999999999,0.163655485,speaking_duration
group-6,conversation,D,A,46.423000000000016,0.132729624,speaking_duration
group-6,conversation,D,B,46.423000000000016,0.132729624,speaking_duration
group-6,conversation,D,C,46.423000000000016,0.132729624,speaking_duration
group-7,conversation,A,B,30.307,0.085253802,speaking_duration
group-7,conversation,A,C,30.307,0.085253802,speaking_duration
group-7,conversation,A,D,30.307,0.085253802,speaking_duration
group-7,conversation,B,A,103.73100000000002,0.301552185,speaking_duration
group-7,conversation,B,C,103.73100000000002,0.301552185,speaking_duration
group-7,conversation,B,D,103.73100000000002,0.301552185,speaking_duration
group-7,conversation,C,A,42.136,0.120100631,speaking_duration
group-7,conversation,C,B,42.136,0.120100631,speaking_duration
group-7,conversation,C,D,42.136,0.120100631,speaking_duration
group-7,conversation,D,A,2.109,0.002185844,speaking_duration
group-7,conversation,D,B,2.109,0.002185844,speaking_duration
group-7,conversation,D,C,2.109,0.002185844,speaking_duration
group-8,conversation,A,B,6.952999999999999,0.016455692,speaking_duration
group-8,conversation,A,C,6.952999999999999,0.016455692,speaking_duration
group-8,conversation,A,D,6.952999999999999,0.016455692,speaking_duration
group-8,conversation,B,A,53.897999999999996,0.154750086,speaking_duration
group-8,conversation,B,C,53.897999999999996,0.154750086,speaking_duration
group-8,conversation,B,D,53.897999999999996,0.154750086,speaking_duration
group-8,conversation,C,A,54.928,0.157784344,speaking_duration
group-8,conversation,C,B,54.928,0.157784344,speaking_duration
group-8,conversation,C,D,54.928,0.157784344,speaking_duration
group-8,conversation,D,A,108.56000000000002,0.315777845,speaking_duration
group-8,conversation,D,B,108.56000000000002,0.315777845,speaking_duration
group-8,conversation,D,C,108.56000000000002,0.315777845,speaking_duration
group-9,conversation,A,B,54.69,0.157083224,speaking_duration
group-9,conversation,A,C,54.69,0.157083224,speaking_duration
group-9,conversation,A,D,54.69,0.157083224,speaking_duration
group-9,conversation,B,A,22.798000000000002,0.06313318,speaking_duration
group-9,conversation,B,C,22.798000000000002,0.06313318,speaking_duration
group-9,conversation,B,D,22.798000000000002,0.06313318,speaking_duration
group-9,conversation,C,A,56.32799999999999,0.161908578,speaking_duration
group-9,conversation,C,B,56.32799999999999,0.161908578,speaking_duration
group-9,conversation,C,D,56.32799999999999,0.161908578,speaking_duration
group-9,conversation,D,A,198.35,0.58028852,speaking_duration
group-9,conversation,D,B,198.35,0.58028852,speaking_duration
group-9,conversation,D,C,198.35,0.58028852,speaking_duration
group-10,conversation,A,B,3.257,0.005567715,speaking_duration
group-10,conversation,A,C,3.257,0.005567715,speaking_duration
group-10,conversation,A,D,3.257,0.005567715,speaking_duration
group-10,conversation,B,A,14.108,0.037533473,speaking_duration
group-10,conversation,B,C,14.108,0.037533473,speaking_duration
group-10,conversation,B,D,14.108,0.037533473,speaking_duration
group-10,conversation,C,A,22.511999999999997,0.062290658,speaking_duration
group-10,conversation,C,B,22.511999999999997,0.062290658,speaking_duration
group-10,conversation,C,D,22.511999999999997,0.062290658,speaking_duration
group-10,conversation,D,A,62.67400000000001,0.18060314,speaking_duration
group-10,conversation,D,B,62.67400000000001,0.18060314,speaking_duration
group-10,conversation,D,C,62.67400000000001,0.18060314,speaking_duration
group-11,conversation,A,B,41.29300000000002,0.117617253,speaking_duration
group-11,conversation,A,C,41.29300000000002,0.117617253,speaking_duration
group-11,conversation,A,D,41.29300000000002,0.117617253,speaking_duration
group-11,conversation,B,A,217.6300000000001,0.637085109,speaking_duration
group-11,conversation,B,C,217.6300000000001,0.637085109,speaking_duration
group-11,conversation,B,D,217.6300000000001,0.637085109,speaking_duration
group-11,conversation,C,A,23.81,0.066114412,speaking_duration
group-11,conversation,C,B,23.81,0.066114412,speaking_duration
group-11,conversation,C,D,23.81,0.066114412,speaking_duration
group-11,conversation,D,A,89.15,0.258598291,speaking_duration
group-11,conversation,D,B,89.15,0.258598291,speaking_duration
group-11,conversation,D,C,89.15,0.258598291,speaking_duration
group-12,conversation,A,B,22.815,0.06318326,speaking_duration
group-12,conversation,A,C,22.815,0.06318326,speaking_duration
group-12,conversation,A,D,22.815,0.06318326,speaking_duration
group-12,conversation,B,A,47.081,0.134668014,speaking_duration
group-12,conversation,B,C,47.081,0.134668014,speaking_duration
group-12,conversation,B,D,47.081,0.134668014,speaking_duration
group-12,conversation,C,A,149.91600000000003,0.437607709,speaking_duration
group-12,conversation,C,B,149.91600000000003,0.437607709,speaking_duration
group-12,conversation,C,D,149.91600000000003,0.437607709,speaking_duration
group-12,conversation,D,A,30.779999999999998,0.086647204,speaking_duration
group-12,conversation,D,B,30.779999999999998,0.086647204,speaking_duration
group-12,conversation,D,C,30.779999999999998,0.086647204,speaking_duration
